,char_count
0,238
1,214
2,54
3,150
4,237
5,97
6,120
7,93
8,143
9,60
10,97
11,48
12,207
13,98
14,119
15,46
16,181
17,380
18,85
19,169
20,124
21,159
22,232
23,193
24,158
25,112
26,54
27,25
28,64
29,79
30,242
31,142
32,63
33,214
34,121
35,157
36,70
37,103
38,73
39,185
40,205
41,176
42,158
43,52
44,113
45,176
46,104
47,134
48,46
49,100
50,113
51,205
52,162
53,126
54,117
55,201
56,69
57,151
58,137
59,250
60,212
61,197
62,109
63,107
64,188
65,140
66,78
67,124
68,63
69,89
70,60
71,174
72,69
73,56
74,141
75,187
76,60
77,101
78,104
79,84
80,188
81,132
82,178
83,171
84,66
85,119
86,126
87,167
88,75
89,196
90,106
91,49
92,193
93,75
94,114
95,129
96,232
97,232
98,131
99,202
100,103
101,99
102,128
103,103
104,106
105,137
106,134
107,157
108,234
109,180
110,116
111,45
112,88
113,100
114,143
115,112
116,76
117,90
118,70
119,252
120,49
121,156
122,103
123,49
124,42
125,291
126,162
127,104
128,204
129,127
130,46
131,129
132,217
133,73
134,90
135,103
136,109
137,152
138,50
139,155
140,201
141,198
142,181
143,113
144,134
145,77
146,129
147,223
148,121
149,129
150,245
151,98
152,143
153,76
154,47
155,93
156,175
157,69
158,66
159,93
160,69
161,110
162,144
163,144
164,77
165,52
166,161
167,124
168,115
169,216
170,87
171,129
172,138
173,25
174,205
175,130
176,156
177,192
178,48
179,130
180,152
181,87
182,122
183,214
184,64
185,109
186,137
187,90
188,93
189,78
190,111
191,113
192,222
193,88
194,99
195,101
196,182
197,164
198,142
199,155
200,167
201,164
202,133
203,100
204,95
205,94
206,87
207,248
208,102
209,114
210,161
211,166
212,353
213,118
214,75
215,105
216,65
217,119
218,163
219,103
220,26
221,120
222,86
223,107
224,282
225,98
226,141
227,207
228,130
229,128
230,76
231,103
232,48
233,194
234,108
235,96
236,132
237,88
238,161
239,86
240,49
241,110
242,151
243,81
244,126
245,144
246,107
247,63
248,149
249,139
250,114
251,121
252,231
253,57
254,98
255,154
256,126
257,242
258,105
259,207
260,66
261,75
262,114
263,88
264,75
265,200
266,233
267,130
268,195
269,242
270,152
271,66
272,133
273,235
274,69
275,158
276,84
277,129
278,85
279,127
280,63
281,123
282,207
283,112
284,85
285,158
286,90
287,153
288,127
289,42
290,104
291,39
292,166
293,83
294,129
295,98
296,118
297,229
298,148
299,157
300,137
301,102
302,117
303,93
304,136
305,86
306,244
307,126
308,188
309,90
310,62
311,95
312,30
313,67
314,57
315,53
316,159
317,88
318,221
319,258
320,59
321,29
322,77
323,120
324,182
325,102
326,165
327,62
328,139
329,36
330,171
331,204
332,161
333,151
334,70
335,146
336,180
337,99
338,101
339,116
340,138
341,41
342,50
343,192
344,66
345,77
346,137
347,86
348,216
349,74
350,52
351,83
352,141
353,84
354,137
355,145
356,152
357,104
358,108
359,45
360,152
361,107
362,204
363,80
364,31
365,146
366,28
367,93
368,51
369,117
370,133
371,84
372,63
373,152
374,103
375,150
376,114
377,86
378,83
379,121
380,165
381,139
382,110
383,215
384,117
385,67
386,109
387,106
388,175
389,207
390,149
391,128
392,157
393,151
394,112
395,103
396,124
397,219
398,120
399,188
400,208
401,92
402,164
403,55
404,63
405,110
406,176
407,104
408,174
409,114
410,106
411,120
412,95
413,90
414,136
415,127
416,108
417,455
418,70
419,94
420,146
421,156
422,134
423,159
424,240
425,116
426,108
427,79
428,115
429,99
430,158
431,119
432,109
433,83
434,93
435,127
436,53
437,123
438,77
439,180
440,170
441,344
442,152
443,173
444,165
445,207
446,158
447,45
448,146
449,65
450,122
451,85
452,131
453,153
454,153
455,108
456,80
457,185
458,112
459,205
460,92
461,44
462,186
463,141
464,112
465,88
466,57
467,134
468,82
469,178
470,65
471,86
472,73
473,120
474,114
475,67
476,216
477,216
478,195
479,77
480,93
481,46
482,171
483,90
484,152
485,125
486,127
487,245
488,134
489,157
490,184
491,183
492,163
493,148
494,249
495,47
496,187
497,157
498,187
499,245
500,106
501,102
502,165
503,61
504,168
505,132
506,206
507,201
508,136
509,77
510,115
511,209
512,121
513,155
514,97
515,87
516,179
517,251
518,68
519,154
520,152
521,222
522,162
523,184
524,155
525,187
526,135
527,143
528,72
529,83
530,101
531,251
532,120
533,164
534,138
535,167
536,118
537,101
538,173
539,178
540,114
541,120
542,114
543,192
544,82
545,122
546,195
547,68
548,241
549,248
550,157
551,145
552,84
553,134
554,153
555,158
556,303
557,177
558,173
559,104
560,278
561,99
562,137
563,96
564,168
565,159
566,145
567,201
568,125
569,104
570,176
571,119
572,130
573,69
574,199
575,140
576,119
577,161
578,136
579,61
580,198
581,99
582,114
583,74
584,77
585,192
586,189
587,107
588,49
589,138
590,107
591,54
592,140
593,89
594,332
595,124
596,257
597,91
598,191
599,239
600,103
601,128
602,197
603,179
604,279
605,143
606,90
607,111
608,113
609,107
610,201
611,140
612,111
613,166
614,185
615,311
616,153
617,175
618,85
619,76
620,189
621,37
622,136
623,137
624,93
625,160
626,70
627,304
628,94
629,135
630,270
631,124
632,98
633,164
634,121
635,43
636,87
637,75
638,90
639,215
640,213
641,196
642,148
643,115
644,105
645,65
646,101
647,185
648,155
649,285
650,81
651,255
652,87
653,122
654,57
655,160
656,161
657,144
658,133
659,388
660,145
661,181
662,205
663,84
664,294
665,114
666,64
667,197
668,245
669,123
670,112
671,179
672,32
673,102
674,194
675,180
676,86
677,193
678,148
679,258
680,132
681,66
682,165
683,219
684,261
685,43
686,115
687,216
688,100
689,240
690,225
691,203
692,153
693,325
694,91
695,112
696,285
697,116
698,96
699,232
700,215
701,139
702,171
703,116
704,207
705,174
706,73
707,108
708,171
709,151
710,143
711,79
712,91
713,95
714,115
715,101
716,151
717,126
718,94
719,74
720,84
721,138
722,205
